date,county,icu_covid_confirmed,icu_covid_suspected,hsp_covid_confirmed,hsp_covid_suspected,icu_available_beds,hsp_all_beds
2020-05-27,Alameda,44,13,96,57,106,2968
2020-05-28,Alameda,42,12,102,77,118,2968
2020-05-29,Alameda,38,12,105,41,126,2968
2020-05-30,Alameda,37,8,99,33,131,2968
2020-05-31,Alameda,37,9,97,51,134,2968
2020-06-01,Alameda,33,5,92,68,131,2968
2020-06-02,Alameda,32,6,89,80,144,2968
2020-06-03,Alameda,32,9,82,92,157,2968
2020-06-04,Alameda,30,10,82,68,154,2968
2020-06-05,Alameda,30,11,83,72,156,2968
2020-06-06,Alameda,29,11,92,74,152,2968
2020-06-07,Alameda,31,12,92,60,144,2968
2020-06-08,Alameda,32,9,94,52,137,2968
2020-06-09,Alameda,32,11,88,46,147,2968
2020-06-10,Alameda,32,7,86,38,145,2968
2020-06-11,Alameda,35,6,84,42,120,2968
2020-06-12,Alameda,33,3,87,27,150,2968
2020-06-13,Alameda,33,9,88,36,149,2968
2020-06-14,Alameda,37,9,98,31,148,2968
2020-06-15,Alameda,36,12,95,38,142,2968
2020-06-16,Alameda,36,13,90,47,135,2968
2020-06-17,Alameda,38,16,77,53,195,2968
2020-06-18,Alameda,36,20,80,57,192,2968
2020-06-19,Alameda,33,12,77,44,203,2968
2020-06-20,Alameda,30,12,76,43,203,2968
2020-06-21,Alameda,30,8,78,34,196,2968
2020-06-22,Alameda,33,11,86,42,196,2968
2020-06-23,Alameda,31,9,89,41,147,2968
2020-06-24,Alameda,34,10,91,49,147,2968
2020-06-25,Alameda,35,9,92,41,123,2968
2020-06-26,Alameda,36,11,99,40,115,2968
2020-06-27,Alameda,35,10,102,39,124,2968
2020-06-28,Alameda,38,6,111,35,138,2968
2020-06-29,Alameda,43,6,116,41,143,2968
2020-06-30,Alameda,43,12,123,47,141,2968
2020-07-01,Alameda,45,10,141,52,129,2968
2020-07-02,Alameda,46,9,157,51,126,2968
2020-07-03,Alameda,44,8,146,44,137,2968
2020-07-04,Alameda,48,10,146,37,134,2968
2020-07-05,Alameda,50,10,142,45,132,2968
2020-07-06,Alameda,51,13,145,45,133,2968
2020-07-07,Alameda,55,8,140,48,127,2968
2020-07-08,Alameda,53,13,133,52,128,2968
2020-07-09,Alameda,53,9,137,46,122,2968
2020-07-10,Alameda,48,12,144,44,121,2968
2020-07-11,Alameda,50,9,150,37,139,2968
2020-07-12,Alameda,52,9,152,48,144,2968
2020-07-13,Alameda,56,8,158,46,144,2968
2020-07-14,Alameda,58,10,159,43,143,2968
2020-07-15,Alameda,50,6,164,47,142,2968
2020-07-16,Alameda,48,5,157,49,149,2968
2020-07-17,Alameda,49,4,163,63,151,2968
2020-07-18,Alameda,53,10,159,69,128,2968
2020-07-19,Alameda,51,8,171,59,121,2968
2020-07-20,Alameda,52,10,176,63,116,2968
2020-07-21,Alameda,52,7,166,75,-8,1539
2020-07-22,Alameda,47,9,201,82,90,2073
2020-07-23,Alameda,51,6,188,65,111,2035
2020-07-24,Alameda,58,7,180,67,105,2025
2020-07-25,Alameda,62,12,188,69,96,2174
2020-07-26,Alameda,65,10,198,51,98,2142
2020-07-27,Alameda,64,3,213,43,114,2343
2020-07-28,Alameda,59,10,204,58,94,2401
2020-07-29,Alameda,60,6,198,47,92,2454
2020-07-30,Alameda,58,5,202,49,102,2486
2020-07-31,Alameda,56,7,198,50,99,2478
2020-08-01,Alameda,55,9,194,42,91,2434
2020-08-02,Alameda,55,6,193,49,84,2334
2020-08-03,Alameda,53,10,196,54,93,2363
2020-08-04,Alameda,49,7,190,56,98,2414
2020-08-05,Alameda,52,7,175,50,98,2407
2020-08-06,Alameda,51,9,167,47,87,2393
2020-08-07,Alameda,58,6,163,45,92,2376
2020-08-08,Alameda,55,2,169,45,92,2340
2020-08-09,Alameda,56,2,166,38,90,2330
2020-08-10,Alameda,59,7,170,53,90,2362
2020-08-11,Alameda,57,3,172,46,77,2371
2020-08-12,Alameda,61,4,165,40,89,2359
2020-08-13,Alameda,61,7,172,38,92,2358
2020-08-14,Alameda,65,12,181,48,88,2381
2020-08-15,Alameda,63,10,188,56,93,2371
2020-08-16,Alameda,69,10,205,52,82,2335
2020-08-17,Alameda,70,5,200,50,92,2375
2020-08-18,Alameda,68,4,202,56,95,2410
2020-08-19,Alameda,73,4,204,50,91,2438
2020-08-20,Alameda,69,8,207,53,82,2459
2020-08-21,Alameda,65,9,196,52,86,2434
2020-08-22,Alameda,64,6,187,46,97,2419
2020-08-23,Alameda,69,7,179,48,92,2396
2020-08-24,Alameda,65,7,179,50,89,2398
2020-08-25,Alameda,69,9,190,48,78,2416
2020-08-26,Alameda,67,20,198,47,77,2445
2020-08-27,Alameda,63,7,202,46,89,2456
2020-08-28,Alameda,58,6,188,44,76,2426
2020-08-29,Alameda,53,3,183,37,89,2414
2020-08-30,Alameda,46,10,173,46,96,2372
2020-08-31,Alameda,49,8,162,48,87,2395
2020-09-01,Alameda,44,6,150,41,95,2404
2020-09-02,Alameda,43,4,147,54,95,2401
2020-09-03,Alameda,44,3,142,35,100,2391
2020-09-04,Alameda,37,4,145,42,105,2406
2020-09-05,Alameda,40,2,146,43,114,2405
2020-09-06,Alameda,38,5,148,57,113,2371
2020-09-07,Alameda,40,7,154,50,107,2388
2020-09-08,Alameda,38,8,149,40,105,2391
2020-09-09,Alameda,39,6,142,41,88,2432
2020-09-10,Alameda,33,10,131,47,100,2444
2020-09-11,Alameda,35,9,121,47,102,2419
2020-09-12,Alameda,33,9,115,47,118,2418
2020-09-13,Alameda,33,8,118,37,117,2385
2020-09-14,Alameda,34,8,110,44,118,2395
2020-09-15,Alameda,33,4,101,46,121,2401
2020-09-16,Alameda,31,5,98,37,117,2411
2020-09-17,Alameda,36,5,99,39,113,2415
2020-09-18,Alameda,37,5,95,48,112,2416
2020-09-19,Alameda,38,8,98,46,108,2415
2020-09-20,Alameda,36,5,96,34,115,2337
2020-09-21,Alameda,35,5,91,36,117,2370
2020-09-22,Alameda,32,5,92,43,120,2386
2020-09-23,Alameda,31,8,87,36,122,2383
2020-09-24,Alameda,30,2,86,27,125,2377
2020-09-25,Alameda,24,6,75,36,118,2363
2020-09-26,Alameda,25,5,76,37,124,2364
2020-09-27,Alameda,25,7,79,35,125,2368
2020-09-28,Alameda,26,5,78,47,126,2390
2020-09-29,Alameda,27,2,84,32,121,2415
2020-09-30,Alameda,28,5,94,36,101,2433
2020-10-01,Alameda,27,4,76,34,103,2380
2020-10-02,Alameda,27,6,78,41,101,2396
2020-10-03,Alameda,23,6,71,29,115,2379
2020-10-04,Alameda,23,6,73,37,110,2381
2020-10-05,Alameda,24,5,75,40,113,2416
2020-10-06,Alameda,25,3,66,34,116,2417
2020-10-07,Alameda,21,4,61,44,106,2416
2020-10-08,Alameda,21,4,59,41,111,2417
2020-10-09,Alameda,24,5,64,46,121,2422
2020-10-10,Alameda,20,7,61,44,126,2354
2020-10-11,Alameda,19,9,61,45,124,2332
2020-10-12,Alameda,19,5,63,32,126,2363
2020-10-13,Alameda,15,5,59,40,125,2371
2020-10-14,Alameda,16,1,57,42,133,2366
2020-10-15,Alameda,17,2,52,43,130,2356
2020-10-16,Alameda,19,5,54,36,133,2340
2020-10-17,Alameda,20,5,54,42,128,2329
2020-10-18,Alameda,20,5,53,48,128,2319
2020-10-19,Alameda,18,5,58,37,127,2354
2020-10-20,Alameda,16,3,61,37,121,2564
2020-10-21,Alameda,15,3,61,43,125,2575
2020-10-22,Alameda,11,7,55,46,121,2404
2020-10-23,Alameda,14,5,54,27,125,2404
2020-10-24,Alameda,16,4,56,38,119,2420
2020-10-25,Alameda,17,2,58,31,114,2380
2020-10-26,Alameda,17,6,58,34,116,2412
2020-10-27,Alameda,17,6,58,41,117,2415
2020-10-28,Alameda,14,5,57,34,126,2417
2020-10-29,Alameda,17,5,68,42,116,2426
2020-10-30,Alameda,19,4,62,49,124,2412
2020-10-31,Alameda,18,6,63,46,125,2394
2020-11-01,Alameda,17,6,69,41,126,2407
2020-11-02,Alameda,16,4,65,51,114,2484
2020-11-03,Alameda,17,6,63,45,122,2505
2020-11-04,Alameda,16,5,66,43,126,2509
2020-11-05,Alameda,17,3,66,41,116,2508
2020-11-06,Alameda,18,5,69,37,106,2479
2020-11-07,Alameda,21,7,69,48,120,2439
2020-11-08,Alameda,18,7,63,45,113,2429
2020-11-09,Alameda,20,10,70,51,107,2471
2020-11-10,Alameda,19,6,75,36,96,2453
2020-11-11,Alameda,20,5,70,39,102,2434
2020-11-12,Alameda,20,6,74,38,98,2458
2020-11-13,Alameda,19,6,69,36,100,2483
2020-11-14,Alameda,22,5,71,39,107,2483
2020-11-15,Alameda,24,3,89,28,110,2438
2020-11-16,Alameda,22,4,95,24,99,2474
2020-11-17,Alameda,21,4,103,30,94,2501
2020-11-18,Alameda,23,5,104,30,88,2506
2020-11-19,Alameda,25,5,97,31,89,2507
2020-11-20,Alameda,25,4,108,24,92,2513
2020-11-21,Alameda,23,3,115,35,114,2486
2020-11-22,Alameda,26,2,123,26,104,2479
2020-11-23,Alameda,32,5,138,38,98,2505
2020-11-24,Alameda,37,6,143,50,97,2536
2020-11-25,Alameda,40,6,157,54,88,2524
2020-11-26,Alameda,42,4,163,41,98,2491
2020-11-27,Alameda,48,5,168,38,88,2506
2020-11-28,Alameda,52,7,171,33,98,2500
2020-03-28,Amador,0,0,1,0,2,NA
2020-03-29,Amador,0,0,0,1,4,NA
2020-03-30,Amador,0,0,0,0,4,NA
2020-03-31,Amador,0,0,0,3,2,NA
2020-04-01,Amador,0,0,0,3,2,NA
2020-04-02,Amador,0,0,0,0,1,NA
2020-04-03,Amador,0,0,0,0,2,NA
2020-04-04,Amador,0,0,0,0,2,NA
2020-04-05,Amador,0,0,0,0,2,NA
2020-04-06,Amador,0,0,0,0,3,NA
2020-04-07,Amador,0,0,0,0,1,NA
2020-04-08,Amador,0,0,0,0,3,NA
2020-04-09,Amador,0,0,0,0,4,NA
2020-04-10,Amador,0,0,0,0,4,NA
2020-04-11,Amador,0,0,0,0,3,NA
2020-04-12,Amador,0,0,0,0,3,NA
2020-04-13,Amador,0,0,0,0,4,NA
2020-04-14,Amador,0,0,0,0,2,NA
2020-04-15,Amador,0,0,0,0,5,NA
2020-04-16,Amador,0,0,0,0,3,NA
2020-04-17,Amador,0,0,0,0,3,NA
2020-04-18,Amador,0,0,0,0,2,NA
2020-04-19,Amador,0,0,0,0,4,NA
2020-04-20,Amador,0,0,0,0,2,NA
2020-04-21,Amador,0,0,0,1,3,NA
2020-04-22,Amador,0,0,0,1,2,NA
2020-04-23,Amador,0,0,0,1,6,NA
2020-04-24,Amador,0,1,0,1,5,NA
2020-04-25,Amador,0,0,0,0,6,NA
2020-04-26,Amador,0,0,0,0,5,NA
2020-04-27,Amador,0,0,0,0,4,NA
2020-04-28,Amador,0,0,0,0,4,NA
2020-04-29,Amador,0,0,0,0,4,NA
2020-04-30,Amador,0,0,0,0,-2,NA
2020-05-01,Amador,0,0,0,0,3,NA
2020-05-02,Amador,0,0,0,0,2,NA
2020-05-03,Amador,0,0,0,0,3,NA
2020-05-04,Amador,0,0,0,0,0,51
2020-05-05,Amador,0,0,0,0,1,51
2020-05-06,Amador,0,0,0,0,1,51
2020-05-07,Amador,0,0,0,0,2,51
2020-05-08,Amador,0,0,0,0,2,51
2020-05-09,Amador,0,0,0,0,2,51
2020-05-10,Amador,0,0,0,0,2,51
2020-05-11,Amador,0,0,0,0,1,51
2020-05-12,Amador,0,0,0,0,1,51
2020-05-13,Amador,0,0,0,0,0,51
2020-05-14,Amador,0,0,0,0,0,51
2020-05-15,Amador,0,0,0,0,2,51
2020-05-16,Amador,0,0,0,0,1,51
2020-05-17,Amador,0,1,0,1,4,51
2020-05-18,Amador,0,0,0,0,3,51
2020-05-19,Amador,0,0,0,0,2,51
2020-05-20,Amador,0,0,0,0,1,51
2020-05-21,Amador,0,0,0,1,1,51
2020-05-22,Amador,0,0,0,0,2,51
2020-05-23,Amador,0,0,0,0,0,51
2020-05-24,Amador,0,0,0,0,1,51
2020-05-25,Amador,0,0,0,0,3,51
2020-05-26,Amador,0,0,0,0,3,51
2020-05-27,Amador,0,0,0,1,4,51
2020-05-28,Amador,0,0,0,0,3,51
2020-05-29,Amador,0,0,0,0,4,51
2020-05-30,Amador,0,0,0,0,0,51
2020-05-31,Amador,0,0,0,0,4,51
2020-06-01,Amador,0,0,0,0,3,51
2020-06-02,Amador,0,0,0,0,2,51
2020-06-03,Amador,0,0,0,0,2,51
2020-06-04,Amador,0,0,0,0,2,51
2020-06-05,Amador,0,0,0,0,4,51
2020-06-06,Amador,0,0,0,1,0,51
2020-06-07,Amador,0,0,0,0,3,51
2020-06-08,Amador,0,0,0,0,0,51
2020-06-09,Amador,0,0,0,0,3,51
2020-06-10,Amador,0,0,0,0,2,51
2020-06-11,Amador,0,0,0,0,0,51
2020-06-12,Amador,0,0,0,0,3,51
2020-06-13,Amador,0,0,0,0,1,51
2020-06-14,Amador,0,0,1,0,0,51
2020-06-15,Amador,0,0,1,0,3,51
2020-06-16,Amador,0,0,1,0,1,51
2020-06-17,Amador,1,0,1,1,1,51
2020-06-18,Amador,0,0,0,0,2,51
2020-06-19,Amador,0,0,0,0,1,51
2020-06-20,Amador,0,1,0,1,0,51
2020-06-21,Amador,0,0,0,0,0,51
2020-06-22,Amador,0,0,0,0,0,51
2020-06-23,Amador,0,0,0,0,1,51
2020-06-24,Amador,0,0,0,0,1,51
2020-06-25,Amador,0,0,0,0,0,51
2020-06-26,Amador,0,0,0,0,0,51
2020-06-27,Amador,0,0,0,0,0,51
2020-06-28,Amador,1,0,1,0,1,51
2020-06-29,Amador,1,0,1,1,0,51
2020-06-30,Amador,1,0,1,1,0,51
2020-07-01,Amador,1,0,1,0,0,51
2020-07-02,Amador,1,0,1,0,1,51
2020-07-03,Amador,1,0,1,0,0,51
2020-07-04,Amador,1,0,1,0,0,51
2020-07-05,Amador,1,0,1,0,2,51
2020-07-06,Amador,1,0,1,1,3,51
2020-07-07,Amador,1,0,1,0,3,51
2020-07-08,Amador,1,0,1,0,0,51
2020-07-09,Amador,1,0,1,1,1,51
2020-07-10,Amador,0,0,0,0,3,51
2020-07-11,Amador,0,0,0,0,3,51
2020-07-12,Amador,1,0,1,0,3,51
2020-07-13,Amador,1,0,2,0,1,51
2020-07-14,Amador,0,1,1,1,1,51
2020-07-15,Amador,0,0,2,1,0,51
2020-07-16,Amador,0,0,1,1,0,51
2020-07-17,Amador,0,0,1,1,0,51
2020-07-18,Amador,0,0,2,0,0,51
2020-07-19,Amador,0,0,2,0,0,51
2020-07-20,Amador,1,0,3,1,1,51
2020-07-21,Amador,0,0,2,1,2,51
2020-07-22,Amador,0,0,0,0,1,51
2020-07-23,Amador,0,0,0,0,1,51
2020-07-24,Amador,0,0,1,0,1,51
2020-07-25,Amador,0,0,2,0,2,51
2020-07-26,Amador,1,0,3,0,1,51
2020-07-27,Amador,1,0,3,1,0,51
2020-07-28,Amador,2,0,5,0,1,51
2020-07-29,Amador,2,0,4,1,0,52
2020-07-30,Amador,2,0,5,0,2,51
2020-07-31,Amador,2,0,6,0,0,51
2020-08-01,Amador,4,0,12,0,0,51
2020-08-02,Amador,4,0,10,1,0,51
2020-08-03,Amador,3,0,10,0,1,51
2020-08-04,Amador,3,0,6,0,1,51
2020-08-05,Amador,3,0,8,0,1,51
2020-08-06,Amador,3,0,7,0,2,51
2020-08-07,Amador,2,0,8,0,1,51
2020-08-08,Amador,3,0,8,1,2,51
2020-08-09,Amador,2,0,7,1,2,51
2020-08-10,Amador,2,0,7,2,1,51
2020-08-11,Amador,2,0,5,0,2,51
2020-08-12,Amador,2,0,7,0,3,51
2020-08-13,Amador,1,0,7,1,4,51
2020-08-14,Amador,1,0,7,0,4,51
2020-08-15,Amador,2,0,7,0,3,51
2020-08-16,Amador,2,0,7,0,2,51
2020-08-17,Amador,1,0,6,0,2,51
2020-08-18,Amador,0,0,4,0,1,51
2020-08-19,Amador,0,0,4,0,0,51
2020-08-20,Amador,0,0,4,0,0,51
2020-08-21,Amador,0,0,3,1,1,51
2020-08-22,Amador,0,0,3,0,2,51
2020-08-23,Amador,0,0,4,0,4,51
2020-08-24,Amador,0,0,3,0,6,51
2020-08-25,Amador,0,0,2,0,5,51
2020-08-26,Amador,0,0,4,0,3,51
2020-08-27,Amador,1,0,4,0,4,51
2020-08-28,Amador,0,0,1,0,3,51
2020-08-29,Amador,0,0,1,0,2,51
2020-08-30,Amador,0,0,1,0,3,51
2020-08-31,Amador,0,0,2,0,4,51
2020-09-01,Amador,0,0,3,0,4,51
2020-09-02,Amador,0,0,2,0,5,51
2020-09-03,Amador,0,0,2,0,3,51
2020-09-04,Amador,0,0,1,0,3,51
2020-09-05,Amador,0,0,2,0,4,51
2020-09-06,Amador,0,0,2,0,4,51
2020-09-07,Amador,0,0,1,0,6,51
2020-09-08,Amador,0,0,2,0,4,51
2020-09-09,Amador,0,0,2,0,4,51
2020-09-10,Amador,0,0,2,0,3,51
2020-09-11,Amador,0,1,0,1,3,51
2020-09-12,Amador,0,0,0,0,4,51
2020-09-13,Amador,0,0,0,0,6,51
2020-09-14,Amador,0,0,0,0,6,51
2020-09-15,Amador,0,0,0,0,3,51
2020-09-16,Amador,0,0,0,0,5,51
2020-09-17,Amador,0,0,0,0,4,51
2020-09-18,Amador,0,0,0,0,4,51
2020-09-19,Amador,0,0,1,0,2,51
2020-09-20,Amador,0,0,1,0,3,51
2020-09-21,Amador,0,0,1,0,1,51
2020-09-22,Amador,0,0,1,0,4,52
2020-09-23,Amador,0,0,1,0,3,51
2020-09-24,Amador,0,0,0,0,2,51
2020-09-25,Amador,0,0,0,0,2,51
2020-09-26,Amador,0,0,0,0,3,51
2020-09-27,Amador,0,0,0,0,3,51
2020-09-28,Amador,1,0,1,0,2,51
2020-09-29,Amador,1,0,1,0,2,51
2020-09-30,Amador,0,0,1,0,2,51
2020-10-01,Amador,0,0,1,0,3,51
2020-10-02,Amador,0,0,0,0,6,51
2020-10-03,Amador,0,0,0,0,3,51
2020-10-04,Amador,0,0,0,0,3,51
2020-10-05,Amador,0,0,0,0,5,51
2020-10-06,Amador,0,0,0,0,4,51
2020-10-07,Amador,0,0,0,0,6,51
2020-10-08,Amador,0,0,0,0,4,51
2020-10-09,Amador,0,0,0,0,3,51
2020-10-10,Amador,0,0,1,0,2,51
2020-10-11,Amador,0,0,1,0,3,51
2020-10-12,Amador,0,0,0,1,2,51
2020-10-13,Amador,0,0,0,0,2,51
2020-10-14,Amador,0,0,0,0,4,51
2020-10-15,Amador,0,0,0,0,2,51
2020-10-16,Amador,0,0,0,0,1,51
2020-10-17,Amador,0,0,0,0,2,51
2020-10-18,Amador,0,0,0,0,3,51
2020-10-19,Amador,0,0,0,0,4,51
2020-10-20,Amador,0,0,0,0,5,51
2020-10-21,Amador,0,0,1,0,6,51
2020-10-22,Amador,0,0,1,0,5,51
2020-10-23,Amador,0,0,3,0,4,51
2020-10-24,Amador,0,0,3,0,6,51
2020-10-25,Amador,0,0,4,0,6,51
2020-10-26,Amador,0,0,2,0,6,51
2020-10-27,Amador,0,0,2,0,3,51
2020-10-28,Amador,0,0,2,0,2,51
2020-10-29,Amador,0,0,0,0,2,51
2020-10-30,Amador,0,0,0,0,3,51
2020-10-31,Amador,0,0,0,0,4,51
2020-11-01,Amador,0,0,0,0,6,51
2020-11-02,Amador,0,0,0,0,4,51
2020-11-03,Amador,0,0,1,0,4,51
2020-11-04,Amador,0,0,1,0,3,51
2020-11-05,Amador,0,0,4,0,4,51
2020-11-06,Amador,0,0,3,0,3,51
2020-11-07,Amador,0,1,3,2,4,51
2020-11-08,Amador,0,0,2,2,4,51
2020-11-09,Amador,0,0,3,0,3,51
2020-11-10,Amador,0,0,3,0,3,51
2020-11-11,Amador,0,0,4,0,5,51
2020-11-12,Amador,0,0,4,1,6,51
2020-11-13,Amador,0,0,2,1,6,51
2020-11-14,Amador,0,0,2,0,5,51
2020-11-15,Amador,0,0,3,0,6,51
2020-11-16,Amador,0,0,2,0,5,51
2020-11-17,Amador,0,1,1,1,2,51
2020-11-18,Amador,0,0,2,0,5,51
2020-11-19,Amador,0,0,3,0,4,51
2020-11-20,Amador,1,0,2,0,3,51
2020-11-21,Amador,1,0,2,0,2,51
2020-11-22,Amador,1,0,3,0,3,51
2020-11-23,Amador,0,0,4,0,3,51
2020-11-24,Amador,0,0,3,0,3,51
2020-11-25,Amador,0,0,4,0,2,51
2020-11-26,Amador,0,0,3,0,4,51
2020-11-27,Amador,0,0,1,0,4,51
2020-11-28,Amador,0,0,1,0,4,51
2020-03-28,Butte,NA,NA,NA,NA,NA,NA
2020-03-29,Butte,2,1,4,12,5,NA
2020-03-30,Butte,2,3,4,20,2,NA
2020-03-31,Butte,2,4,5,33,9,NA
2020-04-01,Butte,2,2,4,26,12,NA
2020-04-02,Butte,2,6,3,19,9,NA
2020-04-03,Butte,1,4,3,14,7,NA
2020-04-04,Butte,1,6,2,16,10,NA
2020-04-05,Butte,1,5,1,15,9,NA
2020-04-06,Butte,1,5,1,14,6,NA
2020-04-07,Butte,1,7,1,15,4,NA
2020-04-08,Butte,1,4,1,14,5,NA
2020-04-09,Butte,1,5,1,15,5,NA
2020-04-10,Butte,1,1,2,4,5,NA
2020-04-11,Butte,2,0,2,0,15,NA
2020-04-12,Butte,1,7,1,8,3,NA
2020-04-13,Butte,1,6,1,6,4,NA
2020-04-14,Butte,0,2,1,5,6,NA
2020-04-15,Butte,0,3,1,10,8,NA
2020-04-16,Butte,0,6,1,9,7,NA
2020-04-17,Butte,0,2,1,4,11,NA
2020-04-18,Butte,0,1,1,3,11,NA
2020-04-19,Butte,0,1,1,2,9,NA
2020-04-20,Butte,0,1,0,1,19,424
2020-04-21,Butte,0,1,0,0,17,424
2020-04-22,Butte,0,1,0,0,14,424
2020-04-23,Butte,0,3,0,4,18,424
2020-04-24,Butte,0,0,0,3,14,424
2020-04-25,Butte,0,0,0,0,18,424
2020-04-26,Butte,0,0,0,0,22,424
2020-04-27,Butte,0,0,0,1,19,424
2020-04-28,Butte,0,1,0,2,20,424
2020-04-29,Butte,0,0,0,0,20,424
2020-04-30,Butte,0,1,0,1,20,424
2020-05-01,Butte,0,0,0,0,19,424
2020-05-02,Butte,0,0,0,2,22,424
2020-05-03,Butte,0,0,0,1,12,448
2020-05-04,Butte,0,0,0,0,14,448
2020-05-05,Butte,0,0,0,0,17,448
2020-05-06,Butte,0,0,1,1,19,448
2020-05-07,Butte,0,0,1,1,23,448
2020-05-08,Butte,0,2,1,2,24,448
2020-05-09,Butte,0,1,1,2,21,448
2020-05-10,Butte,0,0,2,1,25,448
2020-05-11,Butte,0,1,2,3,25,448
2020-05-12,Butte,0,2,2,3,19,448
2020-05-13,Butte,0,0,2,1,19,448
2020-05-14,Butte,1,0,2,2,14,448
2020-05-15,Butte,1,0,2,1,20,448
2020-05-16,Butte,1,0,2,0,22,448
2020-05-17,Butte,1,0,2,1,22,448
2020-05-18,Butte,1,0,1,0,23,448
2020-05-19,Butte,2,0,4,1,20,448
2020-05-20,Butte,2,1,8,1,17,448
2020-05-21,Butte,2,0,7,1,17,448
2020-05-22,Butte,2,0,5,0,20,448
2020-05-23,Butte,2,0,5,0,20,448
2020-05-24,Butte,3,0,7,0,19,448
2020-05-25,Butte,3,0,5,0,20,448
2020-05-26,Butte,3,0,6,1,21,448
2020-05-27,Butte,3,0,5,1,22,448
2020-05-28,Butte,2,0,6,0,18,448
2020-05-29,Butte,2,0,6,0,24,448
2020-05-30,Butte,2,0,5,0,22,448
2020-05-31,Butte,1,1,4,0,17,448
2020-06-01,Butte,1,0,4,2,15,448
2020-06-02,Butte,0,0,4,0,22,448
2020-06-03,Butte,0,0,4,0,22,448
2020-06-04,Butte,1,0,2,0,21,448
2020-06-05,Butte,1,0,1,0,19,448
2020-06-06,Butte,1,0,1,0,21,448
2020-06-07,Butte,2,0,4,0,19,448
2020-06-08,Butte,2,1,6,0,16,448
2020-06-09,Butte,3,6,7,23,17,448
2020-06-10,Butte,3,7,5,37,15,448
2020-06-11,Butte,3,0,5,0,20,448
2020-06-12,Butte,3,1,3,0,20,448
2020-06-13,Butte,3,0,3,0,19,448
2020-06-14,Butte,3,1,3,2,14,448
2020-06-15,Butte,3,0,3,0,10,448
2020-06-16,Butte,3,0,3,0,4,448
2020-06-17,Butte,2,0,4,0,6,448
2020-06-18,Butte,2,1,4,1,9,448
2020-06-19,Butte,3,0,3,0,11,448
2020-06-20,Butte,5,0,6,0,10,448
2020-06-21,Butte,3,2,6,3,11,448
